f 1m 1f 2m 2f
2.2570e+004 5.00000e+000 180.000 3.52578e-005 90.000
2.3101e+004 5.00000e+000 180.000 3.44472e-005 90.000
2.3645e+004 5.00000e+000 180.000 3.36552e-005 90.000
2.4201e+004 5.00000e+000 180.000 3.28815e-005 90.000
2.4771e+004 5.00000e+000 180.000 3.21256e-005 90.000
2.5354e+004 5.00000e+000 180.000 3.13870e-005 90.000
2.5950e+004 5.00000e+000 180.000 3.06654e-005 90.000
2.6561e+004 5.00000e+000 180.000 2.99604e-005 90.000
2.7186e+004 5.00000e+000 180.000 2.92716e-005 90.000
2.7826e+004 5.00000e+000 180.000 2.85987e-005 90.000
2.8480e+004 5.00000e+000 180.000 2.79412e-005 90.000
2.9151e+004 5.00000e+000 180.000 2.72988e-005 90.000
2.9836e+004 5.00000e+000 180.000 2.66712e-005 90.000
3.0539e+004 5.00000e+000 180.000 2.60580e-005 90.000
3.1257e+004 5.00000e+000 180.000 2.54590e-005 90.000
3.1993e+004 5.00000e+000 180.000 2.48737e-005 90.000
3.2745e+004 5.00000e+000 180.000 2.43018e-005 90.000
3.3516e+004 5.00000e+000 180.000 2.37431e-005 90.000
3.4305e+004 5.00000e+000 180.000 2.31973e-005 90.000
3.5112e+004 5.00000e+000 180.000 2.26639e-005 90.000
3.5938e+004 5.00000e+000 180.000 2.21429e-005 90.000
3.6784e+004 5.00000e+000 180.000 2.16338e-005 90.000
3.7649e+004 5.00000e+000 180.000 2.11365e-005 90.000
3.8535e+004 5.00000e+000 180.000 2.06505e-005 90.000
3.9442e+004 5.00000e+000 180.000 2.01758e-005 90.000
4.0370e+004 5.00000e+000 180.000 1.97119e-005 90.000
4.1320e+004 5.00000e+000 180.000 1.92588e-005 90.000
4.2292e+004 5.00000e+000 180.000 1.88160e-005 90.000
4.3288e+004 5.00000e+000 180.000 1.83834e-005 90.000
4.4306e+004 5.00000e+000 180.000 1.79608e-005 90.000
4.5349e+004 5.00000e+000 180.000 1.75479e-005 90.000
4.6416e+004 5.00000e+000 180.000 1.71444e-005 90.000
4.7508e+004 5.00000e+000 180.000 1.67503e-005 90.000
4.8626e+004 5.00000e+000 180.000 1.63652e-005 90.000
4.9770e+004 5.00000e+000 180.000 1.59890e-005 90.000
5.0941e+004 5.00000e+000 180.000 1.56214e-005 90.000
5.2140e+004 5.00000e+000 180.000 1.52622e-005 90.000
5.3367e+004 5.00000e+000 180.000 1.49114e-005 90.000
5.4623e+004 5.00000e+000 180.000 1.45686e-005 90.000
5.5908e+004 5.00000e+000 180.000 1.42336e-005 90.000
5.7224e+004 5.00000e+000 180.000 1.39064e-005 90.000
5.8570e+004 5.00000e+000 180.000 1.35867e-005 90.000
5.9948e+004 5.00000e+000 180.000 1.32743e-005 90.000
6.1359e+004 5.00000e+000 180.000 1.29691e-005 90.000
6.2803e+004 5.00000e+000 180.000 1.26710e-005 90.000
6.4281e+004 5.00000e+000 180.000 1.23797e-005 90.000
6.5793e+004 5.00000e+000 180.000 1.20951e-005 90.000
6.7342e+004 5.00000e+000 180.000 1.18170e-005 90.000
6.8926e+004 5.00000e+000 180.000 1.15453e-005 90.000
7.0548e+004 5.00000e+000 180.000 1.12799e-005 90.000
7.2208e+004 5.00000e+000 180.000 1.10206e-005 90.000
7.3907e+004 5.00000e+000 180.000 1.07672e-005 90.000
7.5646e+004 5.00000e+000 180.000 1.05197e-005 90.000
7.7426e+004 5.00000e+000 180.000 1.02778e-005 90.000
7.9248e+004 5.00000e+000 180.000 1.00415e-005 90.000
8.1113e+004 5.00000e+000 180.000 9.81068e-006 90.000
8.3022e+004 5.00000e+000 180.000 9.58513e-006 90.000
8.4975e+004 5.00000e+000 180.000 9.36477e-006 90.000
8.6975e+004 5.00000e+000 180.000 9.14948e-006 90.000
8.9022e+004 5.00000e+000 180.000 8.93913e-006 90.000
9.1116e+004 5.00000e+000 180.000 8.73362e-006 90.000
9.3260e+004 5.00000e+000 180.000 8.53283e-006 90.000
9.5455e+004 5.00000e+000 180.000 8.33666e-006 90.000
9.7701e+004 5.00000e+000 180.000 8.14500e-006 90.000
1.0000e+005 5.00000e+000 180.000 7.95775e-006 90.000
