f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f jV0400m jV0400f jV0600m jV0600f jV0200m jV0200f jV0800m jV0800f
4.0370e+000 2.80636e+004 179.876 0.00000e+000 0.000 6.66674e-001 -0.041 0.00000e+000 0.000 2.53907e-001 -179.879 1.00000e+000 0.000 2.90568e+002 -0.124 0.00000e+000 0.000 2.84737e-008 -90.124 3.86508e-014 -89.937 2.80636e+000 179.876 3.50795e+000 -0.124
4.1320e+000 2.80636e+004 179.873 0.00000e+000 0.000 6.66674e-001 -0.042 0.00000e+000 0.000 2.53907e-001 -179.876 1.00000e+000 0.000 2.90568e+002 -0.127 0.00000e+000 0.000 2.91437e-008 -90.127 3.95603e-014 -89.935 2.80636e+000 179.873 3.50795e+000 -0.127
4.2292e+000 2.80636e+004 179.870 0.00000e+000 0.000 6.66674e-001 -0.043 0.00000e+000 0.000 2.53907e-001 -179.873 1.00000e+000 0.000 2.90568e+002 -0.130 0.00000e+000 0.000 2.98295e-008 -90.130 4.04912e-014 -89.934 2.80636e+000 179.870 3.50795e+000 -0.130
4.3288e+000 2.80636e+004 179.867 0.00000e+000 0.000 6.66674e-001 -0.044 0.00000e+000 0.000 2.53907e-001 -179.870 1.00000e+000 0.000 2.90568e+002 -0.133 0.00000e+000 0.000 3.05314e-008 -90.133 4.14440e-014 -89.932 2.80636e+000 179.867 3.50795e+000 -0.133
4.4306e+000 2.80636e+004 179.864 0.00000e+000 0.000 6.66673e-001 -0.045 0.00000e+000 0.000 2.53907e-001 -179.867 1.00000e+000 0.000 2.90568e+002 -0.136 0.00000e+000 0.000 3.12498e-008 -90.136 4.24192e-014 -89.931 2.80636e+000 179.864 3.50795e+000 -0.136
4.5349e+000 2.80636e+004 179.861 0.00000e+000 0.000 6.66673e-001 -0.046 0.00000e+000 0.000 2.53907e-001 -179.864 1.00000e+000 0.000 2.90568e+002 -0.139 0.00000e+000 0.000 3.19851e-008 -90.139 4.34174e-014 -89.929 2.80636e+000 179.861 3.50795e+000 -0.139
4.6416e+000 2.80636e+004 179.858 0.00000e+000 0.000 6.66673e-001 -0.047 0.00000e+000 0.000 2.53907e-001 -179.861 1.00000e+000 0.000 2.90568e+002 -0.142 0.00000e+000 0.000 3.27378e-008 -90.142 4.44391e-014 -89.927 2.80636e+000 179.858 3.50795e+000 -0.142
4.7508e+000 2.80636e+004 179.854 0.00000e+000 0.000 6.66673e-001 -0.048 0.00000e+000 0.000 2.53907e-001 -179.857 1.00000e+000 0.000 2.90567e+002 -0.146 0.00000e+000 0.000 3.35081e-008 -90.146 4.54848e-014 -89.926 2.80636e+000 179.854 3.50795e+000 -0.146
4.8626e+000 2.80636e+004 179.851 0.00000e+000 0.000 6.66673e-001 -0.049 0.00000e+000 0.000 2.53907e-001 -179.854 1.00000e+000 0.000 2.90567e+002 -0.149 0.00000e+000 0.000 3.42966e-008 -90.149 4.65551e-014 -89.924 2.80636e+000 179.851 3.50794e+000 -0.149
4.9770e+000 2.80636e+004 179.848 0.00000e+000 0.000 6.66673e-001 -0.051 0.00000e+000 0.000 2.53908e-001 -179.851 1.00000e+000 0.000 2.90567e+002 -0.152 0.00000e+000 0.000 3.51036e-008 -90.152 4.76506e-014 -89.922 2.80636e+000 179.848 3.50794e+000 -0.152
