f 1m 1f 2m 2f 3m 3f 4m 4f jV0001m jV0001f jV0002m jV0002f jV0003m jV0003f jV0004m jV0004f
2.7826e+007 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.51522e-006 -90.000 2.20000e-004 179.954 2.09800e-006 -90.000 1.00505e-004 179.402
3.5938e+007 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.95699e-006 -90.000 2.20000e-004 179.941 2.70967e-006 -90.000 1.00509e-004 179.228
4.6416e+007 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 2.52754e-006 -90.000 2.20000e-004 179.924 3.49968e-006 -90.000 1.00515e-004 179.003
5.9948e+007 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 3.26445e-006 -90.000 2.20000e-004 179.902 4.52000e-006 -90.000 1.00525e-004 178.712
7.7426e+007 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 4.21620e-006 -90.000 2.20001e-004 179.873 5.83781e-006 -90.000 1.00542e-004 178.336
1.0000e+008 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 5.44543e-006 -90.000 2.20001e-004 179.836 7.53982e-006 -90.000 1.00571e-004 177.852
1.2915e+008 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 7.03304e-006 -90.000 2.20001e-004 179.789 9.73806e-006 -90.000 1.00618e-004 177.226
1.6681e+008 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 9.08352e-006 -90.000 2.20002e-004 179.727 1.25772e-005 -90.000 1.00697e-004 176.419
2.1544e+008 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.17318e-005 -90.000 2.20004e-004 179.647 1.62441e-005 -90.000 1.00828e-004 175.380
2.7826e+008 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.51522e-005 -90.000 2.20007e-004 179.545 2.09800e-005 -90.000 1.01046e-004 174.041
3.5938e+008 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 1.95699e-005 -90.000 2.20012e-004 179.412 2.70967e-005 -90.000 1.01409e-004 172.322
4.6416e+008 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 2.52754e-005 -90.000 2.20019e-004 179.241 3.49968e-005 -90.000 1.02012e-004 170.123
5.9948e+008 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 3.26445e-005 -90.000 2.20032e-004 179.019 4.52000e-005 -90.000 1.03010e-004 167.326
7.7426e+008 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 4.21620e-005 -90.000 2.20054e-004 178.733 5.83781e-005 -90.000 1.04653e-004 163.805
1.0000e+009 1.00000e+000 180.000 0.00000e+000 0.000 1.00000e+000 180.000 0.00000e+000 0.000 5.44543e-005 -90.000 2.20090e-004 178.364 7.53982e-005 -90.000 1.07338e-004 159.438
